id,Tweet,following,followers,actions,is_retweet,tweet_url
70,'#IMPERIODOSQUADROS OFERTA 6% em Todo Site Código  [ desconto6 ]  Válido: 31/12/2021 00:00:00  Mais cupons em:  &gt;&gt; https://t.co/m1XTCIdj2b#casaedecoracao #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466957944315072517
71,'O vugo BlackFriday que te procura só na sexta🤡',364,125,0,False,https://twitter.com/euromaoz/status/1466954386056359937
72,'chegaram meus livros que comprei na blackfriday tô feliz',17,7,0,False,https://twitter.com/imluizxxu/status/1466954330263769088
73,'Promotoria acusa pais de assassino por negligência em massacre a escola em Michigan; arma foi comprada na Black FridayA promotoria do condado de Oakland, Michigan (Estados Unidos), apresentou nesta sexta-feira (3) #arma #blackfriday #massacrehttps://t.co/FN2KDiiO41',197,10304,1,True,https://twitter.com/MARAJOARAAM1130/status/1466953696357593095
74,'Partícipe do Sorteio de um Pc Gamer Top com GTX 3060 Ti!💙 Like &amp; RT📌 Marque os amigos🎁 PC Gamer https://t.co/ZtdPkhSNuP#pcgaming #sorteios #pcgamer #Giveaway #sorteo #Giveaways #BlackFriday #gaming https://t.co/8UhSyVVqcj',5,1984,11,True,https://twitter.com/PanLuvme/status/1466951929246806021
75,'Partícipe do Sorteio de um Pc Gamer Top com GTX 3060 Ti!💙 Like &amp; RT📌 Marque os amigos🎁 PC Gamer https://t.co/ZtdPkhSNuP#pcgaming #sorteios #pcgamer #Giveaway #sorteo #Giveaways #BlackFriday #gaming https://t.co/8UhSyVVqcj',3,8569,11,True,https://twitter.com/GleamSorteios/status/1466951912796872713
76,'#BlackFriday QRCode Pix D #ExporArte🖐️🍀🖼️ EncomendasApartirD 100💸CantoeLeio🍀link QR Code:https://t.co/eGDxoKpQOw.bcb.pix013655ab3d3c-f622-4fdc-af8b-c103f28d94e40227 BlackFridayDas🖐️🍀🖼️🎭🎶5204000053039865406100.005802BR5918LEIA FERREIRA LOBO6009SAO PAULO62070503***6304E74D https://t.co/i7fJuJwrEn',4986,2376,1,True,https://twitter.com/Shopculturalsh1/status/1466951440400887808
77,'#CIRURGICASINETE OFERTA Cupom de 5% de Desconto Código  [ desconto5 ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/K2rgzNw7T6#saudeebeleza #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466950394047868931
78,'Promotoria acusa pais de assassino por negligência em massacre a escola em Michigan; arma foi comprada na Black FridayA promotoria do condado de Oakland, Michigan (Estados Unidos), apresentou nesta sexta-feira (3) #arma #blackfriday #massacrehttps://t.co/FN2KDiiO41',2816,3900,1,False,https://twitter.com/aprovinciadopa/status/1466950008801054723
79,'Confira a minha entrevista para EPTV Globo repercutindo as vendas online na Black Friday como um todo e na região de Ribeirão Preto e Franca:https://t.co/lSe4kxFI1t.#ecommerce #blackfriday #comercioelectronico #ribeiraopreto #francasp',79,306,1,False,https://twitter.com/fhmansano/status/1466948909448708098
